#{"t_start": 1626984388.574869, "env_id": null}
r,l,t
-24.588284,99,266.681847
-42.74979,99,267.211832
-41.46856,99,267.60105
-40.853004,99,268.141001
-37.71059,99,268.542209
-35.55236,99,268.93983
-23.367512,94,269.359916
-24.59775,99,269.777755
-24.609282,99,270.196872
-24.609282,99,270.616268
-24.603802,99,271.032624
-40.52827,99,271.467661
-33.613808,99,271.894372
-44.612007,99,272.298927
-42.481743,99,272.696234
-33.151608,99,273.143864
-23.365948,94,273.730865
-24.60928,99,274.145863
-24.604332,99,274.579861
-24.561695,99,275.003864
-24.592464,99,275.423884
-37.090824,99,275.920219
-39.95398,99,276.349222
-41.19282,99,276.838217
-36.17415,99,277.317219
-39.26581,99,277.819942
-23.364313,94,278.238621
-24.604332,99,278.657658
-24.60928,99,279.077415
-24.589485,99,279.493651
-24.609282,99,279.910652
-38.34324,99,280.788624
-37.734966,99,281.187817
-38.363358,99,281.588431
-38.38138,99,282.515581
-38.65547,99,282.903543
-23.365946,94,283.311584
-24.60928,99,283.728599
-24.604332,99,284.14797
-24.595997,99,284.569331
-24.609282,99,284.987898
-42.040905,99,285.434618
-40.752064,99,285.833682
-43.891533,99,286.254677
-37.819565,99,286.651975
-38.69535,99,287.053235
-23.313412,94,287.477276
-24.600443,99,287.901268
-24.596312,99,288.326115
-24.588284,99,288.750716
-24.605434,99,289.170778
-42.376648,99,289.707271
-38.321236,99,290.123216
-43.407295,99,290.524502
-40.394073,99,290.92208
-41.80036,99,291.317597
-23.370895,94,291.865987
-24.604332,99,292.281382
-24.602697,99,292.696547
-24.609282,99,293.120049
-24.595535,99,293.537428
-40.267944,99,294.065758
-40.138523,99,294.464671
-39.307552,99,294.867898
-38.47704,99,295.265486
-37.715477,99,295.854645
-23.34,94,296.275952
-24.61423,99,296.697184
-24.60928,99,297.115018
-24.61423,99,297.526304
-24.588284,99,297.946337
-36.372536,99,298.385236
-41.926838,99,298.777119
-36.874157,99,299.177334
-38.28407,99,299.595562
-38.05079,99,299.995054
-23.370895,94,300.411625
-24.61423,99,300.834888
-24.59164,99,301.261666
-24.61423,99,301.68222
-24.588284,99,302.100418
-38.683937,99,302.539749
-41.004253,99,302.939862
-42.108498,99,303.364105
-36.75017,99,303.765428
-40.800358,99,304.162426
-23.365946,94,304.582282
-24.583334,99,305.002606
-24.610384,99,305.425519
-24.605434,99,305.8434
-24.605434,99,306.262087
-40.352345,99,306.710852
-39.79566,99,307.129004
-41.582905,99,307.529925
-37.690346,99,307.929391
-39.169563,99,308.332186
-23.364313,94,308.798748
-24.605434,99,309.218648
-24.588284,99,309.636649
-24.599382,99,310.057652
-24.61423,99,310.475652
-37.046974,99,311.009412
-38.19478,99,311.404372
-40.81867,99,311.799344
-38.637146,99,312.200359
